#       	100%fe	95%fe 	90%fe 	85%fe 	80%fe 	75%fe 	70%fe 	65%fe 	60%fe 	55%fe 	50%fe 	45%fe 	40%fe 	35%fe 	30%fe 	25%fe 	20%fe 	15%fe 	10%fe 	5%fe  	rocky 	5%h2o 	10%h2o	15%h2o	20%h2o	25%h2o	30%h2o	35%h2o	40%h2o	45%h2o	50%h2o	55%h2o	60%h2o	65%h2o	70%h2o	75%h2o	80%h2o	85%h2o	90%h2o	95%h2o	100%h2o	cold_h2/he	max_coll_strip
#Mearth 	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth 	Rearth    	Rearth        
0.5743 	0.7038	0.721 	0.7364	0.7497	0.7612	0.7715	0.7818	0.7918	0.8016	0.8112	0.8207	0.83  	0.8392	0.8481	0.857 	0.8657	0.8743	0.8829	0.8912	0.8996	0.9078	0.9364	0.9568	0.975 	0.992 	1.0078	1.0234	1.0384	1.053 	1.0671	1.0811	1.0945	1.108 	1.1214	1.1344	1.1473	1.1599	1.1724	1.1849	1.1973	1.21   	2.43      	              
0.6156 	0.7179	0.7356	0.7513	0.7648	0.7762	0.7869	0.7974	0.8076	0.8177	0.8275	0.8372	0.8467	0.8561	0.8653	0.8744	0.8833	0.8921	0.9009	0.9094	0.918 	0.9264	0.9556	0.9762	0.9948	1.012 	1.0281	1.044 	1.0593	1.0742	1.0884	1.1029	1.1167	1.1305	1.144 	1.1571	1.1702	1.1831	1.1957	1.208 	1.221 	1.234  	2.482     	              
0.6598 	0.7323	0.7504	0.7663	0.78  	0.7913	0.8024	0.8132	0.8237	0.834 	0.8441	0.854 	0.8638	0.8733	0.8827	0.8921	0.9012	0.9102	0.9191	0.928 	0.9367	0.9454	0.975 	0.996 	1.0149	1.0324	1.049 	1.0651	1.0807	1.0958	1.1102	1.125 	1.1393	1.1533	1.167 	1.1804	1.1935	1.207 	1.22  	1.232 	1.245 	1.258  	2.536     	              
0.7071 	0.7469	0.7655	0.7816	0.7954	0.8069	0.8182	0.8292	0.84  	0.8506	0.8609	0.8711	0.8811	0.8909	0.9005	0.91  	0.9194	0.9287	0.9378	0.9469	0.9558	0.9647	0.9947	1.0161	1.0354	1.0531	1.0701	1.0866	1.1024	1.1179	1.1327	1.1477	1.1622	1.1764	1.1903	1.204 	1.217 	1.23  	1.244 	1.257 	1.27  	1.283  	2.592     	              
0.7579 	0.7616	0.7808	0.7971	0.8109	0.8227	0.8343	0.8456	0.8567	0.8675	0.8781	0.8884	0.8987	0.9088	0.9187	0.9284	0.938 	0.9475	0.9569	0.9661	0.9753	0.9843	1.0148	1.0366	1.0562	1.0742	1.0917	1.1084	1.1245	1.1404	1.1557	1.1709	1.1857	1.2   	1.214 	1.228 	1.241 	1.255 	1.268 	1.281 	1.294 	1.308  	2.648     	0.7725        
0.8123 	0.7766	0.7962	0.8128	0.8265	0.8387	0.8506	0.8623	0.8736	0.8847	0.8955	0.9062	0.9166	0.9269	0.9371	0.9471	0.9569	0.9666	0.9762	0.9857	0.9951	1.0044	1.0354	1.0576	1.0775	1.0958	1.1137	1.1306	1.1469	1.1632	1.179 	1.1944	1.209 	1.224 	1.238 	1.252 	1.266 	1.28  	1.293 	1.306 	1.32  	1.333  	2.705     	0.7862        
0.8706 	0.7918	0.812 	0.8288	0.8425	0.855 	0.8672	0.8791	0.8907	0.9021	0.9133	0.9242	0.9349	0.9454	0.9558	0.966 	0.9762	0.9861	0.9959	1.0057	1.0152	1.0248	1.0563	1.0789	1.0992	1.1179	1.1361	1.1533	1.1701	1.1866	1.203 	1.218 	1.233 	1.248 	1.263 	1.277 	1.291 	1.305 	1.318 	1.332 	1.346 	1.359  	2.763     	0.8007        
0.933  	0.8072	0.828 	0.8451	0.8587	0.8716	0.8841	0.8963	0.9082	0.9198	0.9312	0.9424	0.9534	0.9643	0.9749	0.9854	0.9957	1.0059	1.016 	1.026 	1.0358	1.0456	1.0776	1.1006	1.1211	1.1404	1.1588	1.1764	1.1937	1.211 	1.227 	1.243 	1.258 	1.273 	1.288 	1.302 	1.316 	1.33  	1.344 	1.358 	1.372 	1.386  	2.823     	0.8158        
1.     	0.8228	0.8442	0.8614	0.8752	0.8884	0.9013	0.9138	0.926 	0.9379	0.9496	0.961 	0.9723	0.9834	0.9943	1.005 	1.0156	1.026 	1.0364	1.0466	1.0568	1.0667	1.0993	1.1227	1.1435	1.1632	1.1819	1.1998	1.218 	1.235 	1.251 	1.267 	1.283 	1.298 	1.313 	1.328 	1.342 	1.356 	1.37  	1.384 	1.398 	1.412  	2.884     	0.8317        
1.0718 	0.8386	0.8605	0.8779	0.8919	0.9054	0.9186	0.9315	0.944 	0.9562	0.9682	0.98  	0.9915	1.0028	1.014 	1.025 	1.0359	1.0466	1.0572	1.0677	1.078 	1.0883	1.1214	1.1452	1.1664	1.1865	1.206 	1.224 	1.242 	1.259 	1.276 	1.292 	1.308 	1.324 	1.339 	1.353 	1.368 	1.383 	1.397 	1.411 	1.425 	1.44   	2.946     	0.8483        
1.1487 	0.8546	0.8771	0.8946	0.9089	0.9228	0.9363	0.9495	0.9623	0.9748	0.9871	0.9991	1.011 	1.0226	1.034 	1.0453	1.0565	1.0675	1.0783	1.089 	1.0996	1.1102	1.1439	1.1681	1.1897	1.21  	1.23  	1.248 	1.267 	1.285 	1.301 	1.318 	1.334 	1.35  	1.365 	1.38  	1.395 	1.409 	1.424 	1.438 	1.453 	1.467  	3.008     	0.8656        
1.231  	0.8708	0.8939	0.9114	0.9261	0.9404	0.9543	0.9677	0.9809	0.9937	1.0063	1.0186	1.0307	1.0427	1.0544	1.066 	1.0773	1.0886	1.0998	1.1107	1.1217	1.1324	1.1667	1.1913	1.213 	1.234 	1.254 	1.273 	1.292 	1.31  	1.327 	1.344 	1.36  	1.376 	1.391 	1.407 	1.422 	1.437 	1.451 	1.466 	1.481 	1.495  	3.073     	0.8837        
1.32   	0.8872	0.9108	0.9283	0.9436	0.9582	0.9724	0.9863	0.9997	1.0129	1.0258	1.0385	1.0509	1.063 	1.0751	1.087 	1.0987	1.1101	1.1216	1.1329	1.1441	1.1551	1.1899	1.215 	1.238 	1.259 	1.279 	1.299 	1.318 	1.336 	1.353 	1.37  	1.387 	1.403 	1.418 	1.434 	1.449 	1.464 	1.479 	1.494 	1.509 	1.524  	3.138     	0.9024        
1.414  	0.9039	0.9281	0.9457	0.9613	0.9764	0.9909	1.0051	1.0189	1.0324	1.0456	1.0586	1.0713	1.0838	1.0961	1.1082	1.1203	1.1321	1.1437	1.1554	1.1668	1.1782	1.214 	1.239 	1.262 	1.284 	1.304 	1.325 	1.344 	1.362 	1.38  	1.397 	1.414 	1.43  	1.446 	1.462 	1.477 	1.493 	1.508 	1.523 	1.538 	1.553  	3.205     	0.9218        
1.516  	0.9207	0.9454	0.9633	0.9793	0.9947	1.0097	1.0242	1.0383	1.0522	1.0657	1.0789	1.092 	1.1049	1.1175	1.1299	1.1422	1.1544	1.1663	1.1782	1.1899	1.202 	1.238 	1.264 	1.287 	1.309 	1.33  	1.351 	1.37  	1.389 	1.407 	1.424 	1.441 	1.458 	1.474 	1.49  	1.506 	1.521 	1.537 	1.552 	1.568 	1.583  	3.272     	0.9419        
1.625  	0.9377	0.963 	0.9811	0.9975	1.0133	1.0287	1.0436	1.0581	1.0722	1.0861	1.0997	1.113 	1.1262	1.1392	1.1519	1.1645	1.1769	1.1893	1.201 	1.214 	1.225 	1.262 	1.288 	1.312 	1.335 	1.357 	1.377 	1.397 	1.416 	1.434 	1.452 	1.469 	1.486 	1.502 	1.518 	1.535 	1.55  	1.566 	1.582 	1.597 	1.613  	3.342     	0.9626        
1.741  	0.9549	0.9808	0.9992	1.016 	1.0322	1.0479	1.0631	1.078 	1.0926	1.1068	1.1208	1.1345	1.1479	1.1611	1.1743	1.1872	1.1999	1.213 	1.225 	1.237 	1.25  	1.287 	1.314 	1.338 	1.361 	1.384 	1.404 	1.424 	1.443 	1.462 	1.48  	1.497 	1.514 	1.531 	1.547 	1.564 	1.58  	1.596 	1.612 	1.628 	1.644  	3.412     	0.9838        
1.866  	0.9724	0.9989	1.0174	1.0347	1.0514	1.0675	1.0831	1.0983	1.1132	1.1278	1.1421	1.1561	1.1699	1.1835	1.1969	1.21  	1.223 	1.236 	1.249 	1.262 	1.274 	1.312 	1.339 	1.364 	1.388 	1.411 	1.432 	1.452 	1.471 	1.49  	1.508 	1.526 	1.543 	1.56  	1.577 	1.594 	1.61  	1.626 	1.643 	1.659 	1.675  	3.483     	1.0056        
2.     	0.9899	1.0171	1.0359	1.0536	1.0707	1.0872	1.1033	1.1189	1.1342	1.1491	1.1637	1.1781	1.1922	1.206 	1.22  	1.233 	1.247 	1.26  	1.273 	1.286 	1.299 	1.338 	1.366 	1.391 	1.415 	1.438 	1.46  	1.48  	1.499 	1.518 	1.537 	1.555 	1.573 	1.59  	1.607 	1.624 	1.641 	1.657 	1.674 	1.69  	1.707  	3.556     	1.0278        
2.144  	1.0077	1.0354	1.0546	1.0728	1.0903	1.1073	1.1237	1.1397	1.1554	1.1707	1.1857	1.2   	1.215 	1.229 	1.243 	1.257 	1.271 	1.285 	1.298 	1.311 	1.325 	1.364 	1.392 	1.418 	1.443 	1.466 	1.488 	1.508 	1.528 	1.548 	1.566 	1.585 	1.603 	1.62  	1.638 	1.655 	1.672 	1.689 	1.706 	1.722 	1.739  	3.631     	1.0504        
2.297  	1.0257	1.0538	1.0735	1.0923	1.1103	1.1276	1.1445	1.1609	1.1769	1.1925	1.208 	1.223 	1.238 	1.253 	1.267 	1.281 	1.295 	1.309 	1.323 	1.337 	1.35  	1.39  	1.419 	1.446 	1.471 	1.494 	1.516 	1.537 	1.557 	1.577 	1.596 	1.615 	1.633 	1.651 	1.669 	1.686 	1.704 	1.721 	1.738 	1.755 	1.772  	3.706     	1.0733        
2.462  	1.0439	1.0723	1.0927	1.1119	1.1304	1.1482	1.1655	1.1823	1.1987	1.215 	1.23  	1.246 	1.261 	1.276 	1.291 	1.306 	1.32  	1.334 	1.348 	1.362 	1.376 	1.417 	1.447 	1.474 	1.499 	1.523 	1.545 	1.566 	1.587 	1.607 	1.626 	1.645 	1.664 	1.682 	1.7   	1.718 	1.736 	1.753 	1.77  	1.788 	1.805  	3.783     	1.0965        
